cîga+1Sg+Dec	wacîgad
	
cîga+2Sg+Dec	yacîgad
	
cîga+3Sg+Dec	cîgad
	
cîga+1Pl+Dec	icîgabid
	
cîga+2Pl+Dec	yacîgabid
	
cîga+3Pl+Dec	cîgabid
	
maní+1Sg+Dec	maunid
	
maní+2Sg+Dec	maanid
	
maní+3Sg+Dec	manid
	
maní+1Pl+Dec	imanimid
	
maní+2Pl+Dec	maanimid
	
maní+3Pl+Dec	manimid
	
agdaa+1Sg+Dec	augdaad
	
agdaa+2Sg+Dec	aagdaad
	
agdaa+3Sg+Dec	agdaad
	
agdaa+1Pl+Dec	agigdaabid
	
agdaa+2Pl+Dec	aagdaabid
	
agdaa+3Pl+Dec	agdaabid
	
yúda+1Sg+Dec	mudad
	
yúda+2Sg+Dec	nudad
	
yúda+3Sg+Dec	yudad
	
yúda+1Pl+Dec	igudabid
	
yúda+2Pl+Dec	nudabid
	
yúda+3Pl+Dec	yudabid
	
yagda+1Sg+Dec	magdad
	
yagda+2Sg+Dec	nagdad
	
yagda+3Sg+Dec	yagdad
	
yagda+1Pl+Dec	igagdamid
	
yagda+2Pl+Dec	nagdamid
	
yagda+3Pl+Dec	yagdamid
	
iyo+1Sg+Dec	imod
	
iyo+2Sg+Dec	inod
	
iyo+3Sg+Dec	iyod
	
iyo+1Pl+Dec	igiyobid
	
iyo+2Pl+Dec	inobid
	
iyo+3Pl+Dec	iyobid
	
ishdima+1Sg+Dec	mishdimad
	
ishdima+2Sg+Dec	nishdimad
	
ishdima+3Sg+Dec	ishdimad
	
ishdima+1Pl+Dec	igishdimamid
	
ishdima+2Pl+Dec	nishdimamid
	
ishdima+3Pl+Dec	ishdimamid
	
hnagda+1Sg+Dec	wahnagdad
	
hnagda+2Sg+Dec	yahnagdad
	
hnagda+3Sg+Dec	hnagdad
	
hnagda+1Pl+Dec	ihnagdamid
	
hnagda+2Pl+Dec	yahnagdamid
	
hnagda+3Pl+Dec	hnagdamid
	
nata+1Sg+2SgO+Dec	nacitad
	
nata+1Sg+3SgO+Dec	nautad
	
nata+2Sg+1SgO+Dec	namaatad
	
nata+2Sg+3SgO+Dec	naatad
	
nata+3Sg+1SgO+Dec	namatad
	
nata+3Sg+2SgO+Dec	nanitad
	
nata+3Sg+3SgO+Dec	natad
	
uge+1Sg+2SgO+Dec	uciged
	
uge+1Sg+3SgO+Dec	uwaged
	
uge+1Sg+2PlO+Dec	ucigebid
	
uge+1Sg+3PlO+Dec	uwicauged
	
uge+2Sg+1SgO+Dec	umaaged
	
uge+2Sg+3SgO+Dec	uyaged
	
uge+2Sg+1PlO+Dec	ugiyagebid
	
uge+2Sg+3PlO+Dec	uwicaaged
	
uge+3Sg+1SgO+Dec	umaged
	
uge+3Sg+2SgO+Dec	uniged
	
uge+3Sg+3SgO+Dec	uged
	
uge+3Sg+1PlO+Dec	ugigebid
	
uge+3Sg+2PlO+Dec	unigebid
	
uge+3Sg+3PlO+Dec	uwicaged
	
uge+1Pl+2SgO+Dec	uginigebid
	
uge+1Pl+3SgO+Dec	ugigebid
	
uge+1Pl+2PlO+Dec	uginigebid
	
uge+1Pl+3PlO+Dec	uwicagigebid
	
uge+2Pl+1SgO+Dec	umaagebid
	
uge+2Pl+3SgO+Dec	uyagebid
	
uge+2Pl+1PlO+Dec	ugiyagebid
	
uge+2Pl+3PlO+Dec	uwicaagebid
	
uge+3Pl+1SgO+Dec	umagebid
	
uge+3Pl+2SgO+Dec	unigebid
	
uge+3Pl+3SgO+Dec	ugebid
	
uge+3Pl+1PlO+Dec	ugigebid
	
uge+3Pl+2PlO+Dec	unigebid
	
uge+3Pl+3PlO+De	uwicagebid
